model_name,feature_set,seq_len,trial,pr_auc,precision@5,precision@10,precision@15,precision@20,precision@25,precision@30
bitenet,dxtx,6,6,0.4167152974001906,0.3818444444444445,0.2468957671957672,0.19795510785510784,0.18469907643669253,0.18175525185547664,0.1813662569593553
bitenet,dx,6,6,0.385642410966581,0.3588,0.22413068783068782,0.17947465497465498,0.1671234165845621,0.1643772832010374,0.16400074794404237
rnn,dxtx,6,6,0.4580787050075698,0.3241555555555556,0.2002793650793651,0.16026739926739927,0.14944167400653469,0.14737509517473846,0.14704981259014552
rnn,dx,6,6,0.4201385795805161,0.30842222222222226,0.18818677248677249,0.152302331002331,0.14257758040033583,0.14048306004146763,0.14018732119538396
brnn,dxtx,6,6,0.3970727172495431,0.35619999999999996,0.22287777777777773,0.17919947829947827,0.1674381034571437,0.16483346703076812,0.1644784485286232
brnn,dx,6,6,0.4092581304596829,0.35326666666666673,0.21420740740740743,0.17370986050986054,0.16306864963954748,0.1608097789450246,0.16052172651214458
retain,dxtx,6,6,0.39680931788095664,0.4504444444444445,0.30247566137566134,0.24668631738631738,0.2308266007871271,0.22719457368379561,0.2266653344938668
retain,dx,6,6,0.37123783280095224,0.4206444444444445,0.28573386243386245,0.2334027565027565,0.2178436749754087,0.21430535262143421,0.21394259793040366
deepr,dxtx,6,6,0.36279146351143554,0.45482222222222224,0.3053978835978836,0.2519426795426795,0.2368341407245432,0.23341811771373758,0.23315545611820243
deepr,dx,6,6,0.39158158063385284,0.4507333333333334,0.3081021164021164,0.2544006697006697,0.2382425800320537,0.23431932512271184,0.23382025317720312
bitenet,dxtx,6,7,0.3233856089259996,0.3646888888888889,0.23922433862433862,0.19306458726458725,0.18054748486807307,0.17753872145757055,0.17708031081755074
bitenet,dx,6,7,0.2661225926289774,0.331,0.20562010582010581,0.16522796462796463,0.1541987535283201,0.15151283596761994,0.15112340020117268
rnn,dxtx,6,7,0.3587368691535848,0.3444666666666667,0.21447830687830688,0.17360797720797722,0.1627503404690711,0.16019807370202174,0.1598351453574842
rnn,dx,6,7,0.35480273771353515,0.3226,0.1984560846560847,0.15947479927479927,0.1490463793688252,0.14667961984815261,0.14632433281930238
brnn,dxtx,6,7,0.32988125649690136,0.34157777777777776,0.21777089947089948,0.17585517075517074,0.1644619819006816,0.16183526504266038,0.16146030988287763
brnn,dx,6,7,0.37377129610275117,0.3265777777777778,0.20284391534391535,0.1648961075961076,0.15489349321702264,0.15259691501261832,0.15221904254876886
retain,dxtx,6,7,0.29337569557846876,0.4080222222222222,0.2715126984126984,0.22237088467088467,0.20822815447939289,0.20487634759062948,0.20436993939261205
retain,dx,6,7,0.32607241076920224,0.4190444444444445,0.27984973544973546,0.23040933140933142,0.21630275428619083,0.21298167893641978,0.21246593550573384
deepr,dxtx,6,7,0.3526445115373308,0.4337555555555556,0.28405978835978835,0.23723603433603435,0.22300904775192704,0.21932081135064713,0.21872688173832672
deepr,dx,6,7,0.35305153466604217,0.4331777777777778,0.2801021164021164,0.23096884966884965,0.21709628918266685,0.2136857791130264,0.21319782379886415
bitenet,dxtx,6,8,0.40246410477825045,0.34255555555555556,0.22148148148148147,0.17758007178007176,0.16646482696869694,0.1638198492411105,0.1635042556988503
